Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",737620911.7771225,112887435.42991786,0.0,0.0,0.0
"Week 2, 2018",849671307.4891684,130035921.33762534,0.0,0.0,0.0
"Week 3, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 4, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 5, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 6, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 7, 2018",866374935.944707,132592288.36656024,0.0,0.0,0.0
"Week 8, 2018",736866229.7771225,112771936.92088038,0.0,0.0,0.0
"Week 9, 2018",849671307.4891684,130035921.33762534,0.0,0.0,0.0
"Week 10, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 11, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 12, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 13, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 14, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 15, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 16, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 17, 2018",866374935.944707,132592288.36656024,0.0,0.0,0.0
"Week 18, 2018",736866229.7771225,112771936.92088038,0.0,0.0,0.0
"Week 19, 2018",849671307.4891684,130035921.33762534,0.0,0.0,0.0
"Week 20, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 21, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 22, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 23, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 24, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 25, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 26, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 27, 2018",866374935.944707,132592288.36656024,0.0,0.0,0.0
"Week 28, 2018",687644192.5132302,105238867.47472075,0.0,0.0,0.0
"Week 29, 2018",688398874.5132302,105354365.98375823,0.0,0.0,0.0
"Week 30, 2018",927046093.7826568,141877561.1991713,0.0,0.0,0.0
"Week 31, 2018",693933209.1798968,106201355.05003305,0.0,0.0,0.0
"Week 32, 2018",688398874.5132302,105354365.98375823,0.0,0.0,0.0
"Week 33, 2018",737620911.7771225,112887435.42991786,0.0,0.0,0.0
"Week 34, 2018",849671307.4891684,130035921.33762534,0.0,0.0,0.0
"Week 35, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 36, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 37, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 38, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 39, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 40, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 41, 2018",866374935.944707,132592288.36656024,0.0,0.0,0.0
"Week 42, 2018",736866229.7771225,112771936.92088038,0.0,0.0,0.0
"Week 43, 2018",849671307.4891684,130035921.33762534,0.0,0.0,0.0
"Week 44, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 45, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 46, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 47, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 48, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 49, 2018",851834729.2225019,130367017.06353277,0.0,0.0,0.0
"Week 50, 2018",866374935.944707,132592288.36656024,0.0,0.0,0.0
"Week 51, 2018",687644192.5132302,105238867.47472075,0.0,0.0,0.0
"Week 52, 2018",688398874.5132302,105354365.98375823,0.0,0.0,0.0
"Week 1, 2019",107460918.75867552,16446100.339513011,0.0,0.0,0.0
