Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 2, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 3, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 4, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 5, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 6, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 7, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 8, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 9, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 10, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 11, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 12, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 13, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 14, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 15, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 16, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 17, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 18, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 19, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 20, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 21, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 22, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 23, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 24, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 25, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 26, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 27, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 28, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 29, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 30, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 31, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 32, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 33, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 34, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 35, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 36, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 37, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 38, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 39, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 40, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 41, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 42, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 43, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 44, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 45, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 46, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 47, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 48, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 49, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 50, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 51, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 52, 2018",306492.14147743065,24415.13334087798,5808.271274710492,1246.2276964613807,193.33524284396327
"Week 1, 2019",46438.20325415616,3699.2626274057548,880.0411022288624,188.82237825172433,29.29321861272171
