Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 2, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 3, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 4, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 5, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 6, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 7, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 8, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 9, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 10, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 11, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 12, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 13, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 14, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 15, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 16, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 17, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 18, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 19, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 20, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 21, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 22, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 23, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 24, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 25, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 26, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 27, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 28, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 29, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 30, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 31, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 32, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 33, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 34, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 35, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 36, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 37, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 38, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 39, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 40, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 41, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 42, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 43, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 44, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 45, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 46, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 47, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 48, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 49, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 50, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 51, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 52, 2018",185220.0000189,5375.084400548478,0.0,5467.8796205579465,281.534400028728
"Week 1, 2019",26460.0000027,767.869200078354,0.0,781.1256600797066,40.219200004104
