Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 2, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 3, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 4, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 5, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 6, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 7, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 8, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 9, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 10, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 11, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 12, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 13, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 14, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 15, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 16, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 17, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 18, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 19, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 20, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 21, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 22, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 23, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 24, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 25, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 26, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 27, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 28, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 29, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 30, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 31, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 32, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 33, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 34, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 35, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 36, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 37, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 38, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 39, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 40, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 41, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 42, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 43, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 44, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 45, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 46, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 47, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 48, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 49, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 50, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 51, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 52, 2018",2075185.341045584,258954.07796771426,0.0,3467.6347048871703,473.1422577583931
"Week 1, 2019",314422.021370543,39235.46635874458,0.0,525.3991977101773,71.6882208724838
