Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 2, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 3, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 4, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 5, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 6, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 7, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 8, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 9, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 10, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 11, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 12, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 13, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 14, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 15, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 16, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 17, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 18, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 19, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 20, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 21, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 22, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 23, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 24, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 25, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 26, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 27, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 28, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 29, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 30, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 31, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 32, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 33, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 34, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 35, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 36, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 37, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 38, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 39, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 40, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 41, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 42, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 43, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 44, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 45, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 46, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 47, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 48, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 49, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 50, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 51, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 52, 2018",17018.680002559202,61.735261709283506,78.07494487446925,660.5370052774956,20.04800504301474
"Week 1, 2019",2431.2400003656,8.819323101326216,11.153563553495607,94.36242932535652,2.8640007204306768
