Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 2, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 3, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 4, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 5, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 6, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 7, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 8, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 9, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 10, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 11, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 12, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 13, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 14, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 15, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 16, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 17, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 18, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 19, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 20, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 21, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 22, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 23, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 24, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 25, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 26, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 27, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 28, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 29, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 30, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 31, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 32, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 33, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 34, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 35, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 36, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 37, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 38, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 39, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 40, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 41, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 42, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 43, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 44, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 45, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 46, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 47, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 48, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 49, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 50, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 51, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 52, 2018",278902512.0,11035829.349750241,0.0,5005335.08770848,858673.89784512
"Week 1, 2019",39843216.0,1576547.0499643201,0.0,715047.86967264,122667.69969216001
