Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 2, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 3, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 4, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 5, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 6, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 7, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 8, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 9, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 10, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 11, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 12, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 13, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 14, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 15, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 16, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 17, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 18, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 19, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 20, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 21, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 22, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 23, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 24, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 25, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 26, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 27, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 28, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 29, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 30, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 31, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 32, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 33, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 34, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 35, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 36, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 37, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 38, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 39, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 40, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 41, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 42, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 43, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 44, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 45, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 46, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 47, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 48, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 49, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 50, 2018",14048.528,5338.440640000001,477.5094667200001,0.0,223.65256576000002
"Week 51, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 52, 2018",13023.768000000002,4949.031840000001,442.67787432,0.0,207.33838656000003
"Week 1, 2019",1919.0960000000002,729.2564800000001,65.23007304,0.0,30.552008320000006
