Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 2, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 3, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 4, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 5, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 6, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 7, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 8, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 9, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 10, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 11, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 12, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 13, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 14, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 15, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 16, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 17, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 18, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 19, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 20, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 21, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 22, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 23, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 24, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 25, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 26, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 27, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 28, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 29, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 30, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 31, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 32, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 33, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 34, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 35, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 36, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 37, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 38, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 39, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 40, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 41, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 42, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 43, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 44, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 45, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 46, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 47, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 48, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 49, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 50, 2018",2943.727703805828,476.53064069208745,0.0,388.12578778247234,33.390703344269504
"Week 51, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 52, 2018",2728.9995556504878,441.770448068701,0.0,359.8142250132279,30.955041959743482
"Week 1, 2019",402.127259273232,65.0963607311508,0.0,53.01983573156081,4.56132950193627
