Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 2, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 3, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 4, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 5, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 6, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 7, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 8, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 9, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 10, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 11, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 12, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 13, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 14, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 15, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 16, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 17, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 18, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 19, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 20, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 21, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 22, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 23, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 24, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 25, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 26, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 27, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 28, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 29, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 30, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 31, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 32, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 33, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 34, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 35, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 36, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 37, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 38, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 39, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 40, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 41, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 42, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 43, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 44, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 45, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 46, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 47, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 48, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 49, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 50, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 51, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 52, 2018",16375419.37914696,266098.676309458,29.54485915224453,690926.0063682758,14934.382473782027
"Week 1, 2019",2481124.1483556,40317.98125900879,4.47649381094614,104685.75854064785,2262.7852233003073
