Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 2, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 3, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 4, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 5, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 6, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 7, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 8, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 9, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 10, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 11, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 12, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 13, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 14, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 15, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 16, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 17, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 18, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 19, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 20, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 21, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 22, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 23, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 24, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 25, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 26, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 27, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 28, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 29, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 30, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 31, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 32, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 33, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 34, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 35, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 36, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 37, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 38, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 39, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 40, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 41, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 42, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 43, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 44, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 45, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 46, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 47, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 48, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 49, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 50, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 51, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 52, 2018",25169.321960650555,407.81433005878375,0.0,1062.7899476437829,22.954421628113305
"Week 1, 2019",3813.5336304015996,61.790050008906626,0.0,161.0287799460277,3.4779426709262586
