Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 2, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 3, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 4, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 5, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 6, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 7, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 8, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 9, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 10, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 11, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 12, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 13, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 14, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 15, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 16, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 17, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 18, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 19, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 20, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 21, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 22, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 23, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 24, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 25, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 26, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 27, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 28, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 29, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 30, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 31, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 32, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 33, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 34, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 35, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 36, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 37, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 38, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 39, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 40, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 41, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 42, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 43, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 44, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 45, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 46, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 47, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 48, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 49, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 50, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 51, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 52, 2018",100548.96916396265,2161.430431274271,0.0,1711.287597121366,141.5133638670267
"Week 1, 2019",15234.692297570102,327.48945928398047,0.0,259.2859995638433,21.441418767731317
