Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 2, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 3, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 4, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 5, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 6, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 7, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 8, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 9, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 10, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 11, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 12, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 13, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 14, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 15, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 16, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 17, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 18, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 19, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 20, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 21, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 22, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 23, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 24, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 25, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 26, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 27, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 28, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 29, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 30, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 31, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 32, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 33, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 34, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 35, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 36, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 37, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 38, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 39, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 40, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 41, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 42, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 43, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 44, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 45, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 46, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 47, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 48, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 49, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 50, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 51, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 52, 2018",15066.327468864672,934.9355054030394,0.057592694045756794,479.3960976766377,0.057252044381685754
"Week 1, 2019",2282.77688922192,141.65689475803626,0.008726165764508605,72.63577237524814,0.008674552179043296
